id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
4361646,Yo'Heinz Tyler,Ball State,14,1.582,22.144,22.144,,WR,2018
4258460,Zack Boobas,Army,1,1.591,1.591,1.591,,RB,2018
4240760,Jake Paulson,Minnesota,2,1.605,3.21,3.21,,TE,2018
4243389,Calvin Austin III,Memphis,5,1.606,8.028,1.053,6.976,WR,2018
3915308,Jake Burt,Boston College,6,1.611,9.663,9.663,,TE,2018
4245128,Trevor Terry,Southern Mississippi,3,1.628,4.885,4.885,,WR,2018
3915109,Camrin Knight,Georgia State,3,1.632,4.897,4.897,,TE,2018
4035493,Nate Craig-Myers,Auburn,2,1.642,3.284,3.284,,WR,2018
4037639,Mykel Jones,Oklahoma,2,1.664,3.329,3.329,,WR,2018
3139385,Cole Novak,TCU,1,1.673,1.673,1.673,,TE,2018
4037532,Garrett Walston,North Carolina,1,1.68,1.68,1.68,,TE,2018
3122417,Britton Abbott,Oklahoma State,1,1.699,1.699,1.699,,TE,2018
4361474,Naveon Mitchell,New Mexico State,3,1.716,5.148,5.148,,WR,2018
3121422,Terry McLaurin,Ohio State,43,1.725,74.168,74.168,,WR,2018
3921729,Lee Morris,Oklahoma,25,1.74,43.51,43.51,,WR,2018
3916947,Jalen Harris,Auburn,1,1.741,1.741,1.741,,TE,2018
4262172,George Scott,Louisiana Tech,9,1.749,15.745,15.745,,WR,2018
4240809,Kurt Rafdal,Nebraska,4,1.761,7.045,7.045,,TE,2018
4257610,Jake Hescock,UCF,2,1.792,3.584,3.584,,TE,2018
4036934,Malik Hancock,Army,4,1.802,7.209,,7.209,RB,2018
3728271,Bryce Witham,Minnesota,3,1.825,5.475,5.475,,TE,2018
4362899,Brad Cumbest,Mississippi State,1,1.83,1.83,1.83,,WR,2018
4241410,Jelani Woods,Oklahoma State,7,1.836,12.851,12.851,,TE,2018
3949993,Cedric Chambers,Auburn,1,1.852,1.852,1.852,,RB,2018
3675229,Terrell Chatman,Arizona State,2,1.86,3.72,3.72,,WR,2018
4037434,Marcus Joyner,Old Dominion,1,1.874,1.874,1.874,,TE,2018
4249417,Jalen Tolbert,South Alabama,3,1.881,5.643,5.643,,WR,2018
4049794,Khameron Taylor,South Alabama,3,1.89,5.669,5.669,,TE,2018
4036680,Colby Ransom,Georgia Southern,6,1.89,11.339,11.339,,WR,2018
4360198,Henry Thomas,Houston,2,1.921,3.841,3.841,,WR,2018
4241126,Malik Murray,Georgia Southern,3,1.921,5.764,5.929,-0.165,WR,2018
3921661,Isaac Lessard,San Diego State,2,1.977,3.953,3.953,,FB,2018
3932185,Peyton Braswell,Louisiana Tech,1,1.993,1.993,1.993,,TE,2018
4239123,Garrison Burnett,Connecticut,1,1.994,1.994,1.994,,WR,2018
4035380,Dontea Jones,Mississippi State,4,2.017,8.066,8.066,,WR,2018
4047651,Octavious Cooley,Ole Miss,9,2.031,18.28,18.28,,TE,2018
4045696,Ryan Carriere,Charlotte,1,2.032,2.032,2.032,,TE,2018
4386172,Bubba Ogbedor,Arkansas State,2,2.052,4.104,4.104,,WR,2018
4374258,Cadarius Gaskin,Florida International,3,2.098,6.293,6.293,,WR,2018
4240787,Austin Allen,Nebraska,2,2.104,4.208,4.208,,TE,2018
4362186,Erik Ezukanma,Texas Tech,3,2.131,6.394,6.394,,WR,2018
4036970,Christian Hayes,Army,7,2.165,15.155,15.155,,WR,2018
